Time: 7h 44m, Epoch [12/20],Loss: 0.1903
Time: 7h 46m, Epoch [12/20],Loss: 0.1971
Time: 7h 47m, Epoch [12/20],Loss: 0.1693
Time: 7h 48m, Epoch [12/20],Loss: 0.2073
Time: 7h 49m, Epoch [12/20],Loss: 0.1992
Time: 7h 50m, Epoch [12/20],Loss: 0.1867
Time: 7h 52m, Epoch [12/20],Loss: 0.1796
Time: 7h 53m, Epoch [12/20],Loss: 0.1833
Time: 7h 54m, Epoch [12/20],Loss: 0.1827
Time: 7h 55m, Epoch [12/20],Loss: 0.1773
Time: 7h 57m, Epoch [12/20],Loss: 0.2176
Time: 7h 58m, Epoch [12/20],Loss: 0.1507
Time: 7h 59m, Epoch [12/20],Loss: 0.1681
Time: 8h 1m, Epoch [12/20],Loss: 0.1764
Time: 8h 2m, Epoch [12/20],Loss: 0.1773
Time: 8h 3m, Epoch [12/20],Loss: 0.1962
Time: 8h 5m, Epoch [12/20],Loss: 0.2195
Time: 8h 6m, Epoch [12/20],Loss: 0.1888
Time: 8h 7m, Epoch [12/20],Loss: 0.1854
Time: 8h 9m, Epoch [12/20],Loss: 0.1961
Time: 8h 10m, Epoch [12/20],Loss: 0.2061
Time: 8h 11m, Epoch [12/20],Loss: 0.1619
Time: 8h 13m, Epoch [12/20],Loss: 0.1929
Time: 8h 14m, Epoch [12/20],Loss: 0.1680
Time: 8h 15m, Epoch [12/20],Loss: 0.1767
Test: Epoch [12/20], Loss: 0.1685
Time: 8h 19m, Epoch [13/20],Loss: 0.1808
Time: 8h 20m, Epoch [13/20],Loss: 0.1825
Time: 8h 22m, Epoch [13/20],Loss: 0.1620
Time: 8h 23m, Epoch [13/20],Loss: 0.1831
Time: 8h 24m, Epoch [13/20],Loss: 0.1675
Time: 8h 26m, Epoch [13/20],Loss: 0.2196
Time: 8h 27m, Epoch [13/20],Loss: 0.1787
Time: 8h 28m, Epoch [13/20],Loss: 0.1700
Time: 8h 30m, Epoch [13/20],Loss: 0.2009
Time: 8h 31m, Epoch [13/20],Loss: 0.1694
Time: 8h 32m, Epoch [13/20],Loss: 0.1813
Time: 8h 34m, Epoch [13/20],Loss: 0.2126
Time: 8h 35m, Epoch [13/20],Loss: 0.2072
Time: 8h 36m, Epoch [13/20],Loss: 0.2174
Time: 8h 38m, Epoch [13/20],Loss: 0.1721
Time: 8h 39m, Epoch [13/20],Loss: 0.1776
Time: 8h 40m, Epoch [13/20],Loss: 0.1694
Time: 8h 42m, Epoch [13/20],Loss: 0.1688
Time: 8h 43m, Epoch [13/20],Loss: 0.1715
Time: 8h 44m, Epoch [13/20],Loss: 0.1947
Time: 8h 46m, Epoch [13/20],Loss: 0.1979
Time: 8h 47m, Epoch [13/20],Loss: 0.1635
Time: 8h 48m, Epoch [13/20],Loss: 0.1581
Time: 8h 50m, Epoch [13/20],Loss: 0.1960
Time: 8h 51m, Epoch [13/20],Loss: 0.1755
Time: 8h 52m, Epoch [13/20],Loss: 0.1982
Test: Epoch [13/20], Loss: 0.1687
Time: 8h 56m, Epoch [14/20],Loss: 0.1880
Time: 8h 57m, Epoch [14/20],Loss: 0.1947
Time: 8h 59m, Epoch [14/20],Loss: 0.1945
Time: 9h 0m, Epoch [14/20],Loss: 0.1616
Time: 9h 2m, Epoch [14/20],Loss: 0.2001
Time: 9h 3m, Epoch [14/20],Loss: 0.2018
Time: 9h 4m, Epoch [14/20],Loss: 0.1600
Time: 9h 5m, Epoch [14/20],Loss: 0.2145
Time: 9h 7m, Epoch [14/20],Loss: 0.1900
Time: 9h 8m, Epoch [14/20],Loss: 0.1493
Time: 9h 9m, Epoch [14/20],Loss: 0.1721
Time: 9h 10m, Epoch [14/20],Loss: 0.2059
Time: 9h 11m, Epoch [14/20],Loss: 0.1995
Time: 9h 12m, Epoch [14/20],Loss: 0.1782
Time: 9h 14m, Epoch [14/20],Loss: 0.1718
Time: 9h 15m, Epoch [14/20],Loss: 0.1832
Time: 9h 16m, Epoch [14/20],Loss: 0.1974
Time: 9h 18m, Epoch [14/20],Loss: 0.1743
Time: 9h 19m, Epoch [14/20],Loss: 0.1946
Time: 9h 20m, Epoch [14/20],Loss: 0.1992
Time: 9h 22m, Epoch [14/20],Loss: 0.1831
Time: 9h 23m, Epoch [14/20],Loss: 0.1966
